section,line_id,line,kind,max_points,measure,unit,target_source,observed_value,target_value,ratio,band,assessor_1_points,assessor_2_points,points_awarded,points_achievable,evidence_reference,note,formula_note
C,C3,Re-queue completion,ratio,5,Decision recorded to every item processed by the rolled-back release identified and re-queued,minutes,SOW re-queue target,,,,,,,,,,"If the supplier cannot identify the affected items, score 0 and write 'affected items not identifiable' here.","Bands in rubric.md 3.3. ratio = observed_value / target_value. ratio <= 1.00 -> max_points. 1.00 < ratio <= 2.00 -> floor(max_points/2). ratio > 2.00 -> 0. Not achieved before the window closed -> 0, write 'not achieved within the window' and the window length in note. No target in the contract -> 0, write 'no target in the contract' in note."
C,C4,Restored configuration proven,checklist,3,"Model pin, prompt version and threshold set read from the running system after the rollback","elements present, 0 to 3","rubric.md 6, line C4",,,,,,,,,,"Each value must be shown from the running system, not from a deployment plan.","Checklist line. One point per element listed in rubric.md for this line, present or absent, no partial element. points_awarded = elements present."
D,D1,Completeness,computed,12,"Monthly report elements present, covering the whole period, carrying sample size or basis",elements passing / elements required,"Ops retainer schedule clause 5.2, ten elements, plus any the SOW adds",,,,,,,,,,Record the denominator here; it differs per SOW. An element present but carrying a figure without its sample size or basis fails (charter 3.21.3). A not-applicable element passes only if the report states 'none' explicitly.,"points_awarded = round(elements_passing / elements_required * 12). Where the audit covers three months (tier T3 and above), score each month separately and take the mean of the three, rounded to a whole point; record all three ratios."
D,D2,Changes stated with their dates,checklist,4,"Threshold, model version and prompt or configuration changes stated with dates, and the affected measure restated","elements present, 0 to 4","rubric.md 7, line D2",,,,,,,,,,An element scores only if the change is stated with its date.,"Checklist line. One point per element listed in rubric.md for this line, present or absent, no partial element. points_awarded = elements present."
D,D3,Timeliness,banded,4,Monthly report delivery date against the fifth business day of the following month,business day of delivery,Ops retainer schedule clause 3.1 and clause 5.1,,,,,,,,,,Scored separately from completeness (charter 3.21.6). Evidence is the delivery timestamp from the mail or portal system.,On or before the fifth business day -> 4. After the fifth and on or before the tenth -> 2. Later or not delivered -> 0.
E,E1,Timestamps come from system records,checklist,5,Five named timestamps obtained from a system record rather than a person's account,"elements present, 0 to 5","rubric.md 8, line E1",,,,,,,,,,"A log line, ticket field, mail header, monitoring result or deployment record counts. A screenshot of one counts. A recollection does not.","Checklist line. One point per element listed in rubric.md for this line, present or absent, no partial element. points_awarded = elements present."
E,E2,A reported figure can be reproduced,checklist,5,"One figure named before the exercise, reproduced from its stated basis","weighted elements, 0 to 5","rubric.md 8, line E2",,,,,,,,,,"Element 1 is worth 2, element 2 is worth 2, element 3 is worth 1. A mismatch on element 3 scores 0 for that element; record both figures here.",points_awarded = 2*(basis stated) + 2*(records produced in the window) + 1*(recomputed figure matches within the stated rounding).
A,A-SUBTOTAL,"Section A subtotal, drift detection and notice",subtotal,25,,,,,,,,,,,,,,points_awarded = sum of A1..A4. points_achievable = sum of A1..A4 achievable.
B,B-SUBTOTAL,"Section B subtotal, incident response and communication",subtotal,25,,,,,,,,,,,,,,points_awarded = sum of B1..B4. points_achievable = sum of B1..B4 achievable.
C,C-SUBTOTAL,"Section C subtotal, rollback",subtotal,20,,,,,,,,,,,,,,points_awarded = sum of C1..C4. points_achievable = sum of C1..C4 achievable.
D,D-SUBTOTAL,"Section D subtotal, monthly report completeness",subtotal,20,,,,,,,,,,,,,,points_awarded = sum of D1..D3. points_achievable = sum of D1..D3 achievable.
E,E-SUBTOTAL,"Section E subtotal, evidence and reproducibility",subtotal,10,,,,,,,,,,,,,,points_awarded = sum of E1..E2. points_achievable = sum of E1..E2 achievable.
,TOTAL,Points awarded and points achievable,total,100,,,,,,,,,,,,,,points_awarded = sum of the five section subtotals. points_achievable = 100 minus the max_points of every line marked not exercised.
,SCORE,Day-60 score,score,100,,,,,,,,,,,,,,"score = points_awarded / points_achievable * 100, to one decimal place. Print points_achievable beside it always. A score with any line not exercised is never compared with a full-scope score (rubric.md 3.5 and 3.6)."
,TIER,Tier exercised,context,,,,,,,,,,,,,,"One of T1 to T5, from rubric.md section 2. Print it beside the score everywhere the score appears (charter 4.5 and 9.9).",
,WINDOW,Exercise window,context,,,,,,,,,,,,,,Start and end dates of the exercise. Fixes the meaning of 'not achieved within the window' on every ratio line.,
,ASSESSORS,Assessors,context,,,,,,,,,,,,,,"Two, named. Each scores every line independently from the same evidence pack. Disagreements resolve under rubric.md 3.7.",
,NOTES,Rules that apply to every row,context,,,,,,,,,,,,,,"1. A line with no evidence_reference scores 0, whatever the assessors believe happened (rubric.md 3.8). 2. A line that could not be exercised is written 'not exercised' in band, scores no points, and is removed from points_achievable; it is never assumed. 3. A line scored 0 because the contract sets no target is written 'no target in the contract' in note and listed separately in the exercise report. 4. This file is shipped with no scores in it and stays that way; no Day-60 exercise has been run.",
