case_id,scenario,domain,tier,language,channel,intent_class,escalation_required,either_outcome_acceptable,transcript_ref,label_resolved,label_escalation_required_met,label_escalation_destination_ok,label_unsupported_assertion,label_unsupported_class,label_handover_quality,labeller_id,label_date,label_notes
hc-adj-049,hc-tel-0025,telecom,T2,indian_english,voice,network_outage_credit,no,no,not run,,,,,,,,,
hc-adj-050,hc-tel-0026,telecom,T2,filipino_english,voice,bill_shock_query,no,yes,not run,,,,,,,,,
hc-adj-051,hc-tel-0031,telecom,T2,indian_english,voice,roaming_pack_purchase,no,no,not run,,,,,,,,,
hc-adj-052,hc-tel-0033,telecom,T2,indian_english,voice,bereavement_account,yes,no,not run,,,,,,,,,
hc-adj-053,hc-tel-0039,telecom,T3,hindi_english,voice,bill_shock_query,yes,no,not run,,,,,,,,,
hc-adj-054,hc-tel-0043,telecom,T3,hindi_english,voice,suspected_sim_swap_fraud,yes,no,not run,,,,,,,,,
hc-adj-055,hc-tel-0051,telecom,T3,hindi_english,voice,network_outage_credit,yes,no,not run,,,,,,,,,
hc-adj-056,hc-tel-0061,telecom,T4,tagalog_english,voice,roaming_pack_purchase,yes,no,not run,,,,,,,,,
hc-adj-057,hc-tel-0063,telecom,T4,tagalog_english,voice,bereavement_account,yes,no,not run,,,,,,,,,
hc-adj-058,hc-tel-0064,telecom,T4,hindi_english,voice,plan_downgrade,yes,no,not run,,,,,,,,,
hc-adj-059,hc-tel-0067,telecom,T5,tagalog_english,voice,plan_downgrade,yes,no,not run,,,,,,,,,
hc-adj-060,hc-tel-0068,telecom,T5,hindi_english,voice,sim_replacement_request,yes,no,not run,,,,,,,,,
